productid,brand,productLine,productSize,listPrice
1,Solex,Mountain,large,470.45
2,OHM Cycles,Mountain,medium,1305.18
3,WeareA2B,Standard,medium,477.52
4,WeareA2B,Mountain,medium,246.62
5,WeareA2B,Touring,medium,1034.12
6,OHM Cycles,Mountain,large,1893.77
7,Norco Bicycles,Touring,medium,1120.28
8,Solex,Touring,medium,132.38
9,Trek Bicycles,Touring,medium,1047.82
10,OHM Cycles,Standard,large,572.09
11,Norco Bicycles,Touring,large,1485.66
12,Giant Bicycles,Standard,small,2019.01
13,WeareA2B,Standard,medium,1492.77
14,Norco Bicycles,Standard,small,1078.74
15,OHM Cycles,Road,small,916.4
16,WeareA2B,Mountain,large,418.9
17,Norco Bicycles,Standard,large,629.39
18,Giant Bicycles,Mountain,large,417.49
19,Norco Bicycles,Road,small,873.65
20,Solex,Mountain,large,1231.61
21,Giant Bicycles,Mountain,large,32.14
22,Norco Bicycles,Touring,medium,29.83
23,Norco Bicycles,Mountain,small,1710.15
24,Trek Bicycles,Road,medium,494.29
25,Giant Bicycles,Mountain,large,426.92
26,Solex,Road,medium,456.82
27,OHM Cycles,Road,small,697.26
28,WeareA2B,Standard,small,804.22
29,OHM Cycles,Mountain,small,383.71
30,Norco Bicycles,Road,large,436.5
31,Trek Bicycles,Road,medium,2076.16
32,Trek Bicycles,Touring,large,63.22
33,OHM Cycles,Mountain,medium,158.37
34,Giant Bicycles,Mountain,medium,1074.26
35,Giant Bicycles,Standard,small,1474.47
36,Solex,Road,small,716.25
37,OHM Cycles,Mountain,small,247.82
38,Solex,Touring,medium,627.07
39,Solex,Touring,small,470.6
40,Trek Bicycles,Road,small,1135.05
41,OHM Cycles,Mountain,medium,1011.15
42,Giant Bicycles,Touring,medium,2077.77
43,WeareA2B,Mountain,large,1866.63
44,Norco Bicycles,Standard,medium,1942.19
45,Trek Bicycles,Standard,small,897.75
46,Solex,Road,small,1758.0
47,Giant Bicycles,Touring,large,201.94
48,WeareA2B,Road,medium,1050.14
49,Solex,Mountain,medium,1787.41
50,Solex,Road,small,1985.31
51,OHM Cycles,Standard,large,1483.89
52,OHM Cycles,Touring,large,1097.02
53,Giant Bicycles,Touring,medium,391.97
54,Norco Bicycles,Road,small,1326.71
55,WeareA2B,Standard,small,2017.88
56,OHM Cycles,Standard,small,120.82
57,Giant Bicycles,Touring,small,559.64
58,Giant Bicycles,Standard,large,1103.63
59,Solex,Road,small,25.58
60,Trek Bicycles,Standard,medium,1642.36
61,OHM Cycles,Standard,medium,1418.62
62,WeareA2B,Road,small,436.32
63,Norco Bicycles,Road,medium,1021.74
64,Giant Bicycles,Mountain,large,836.87
65,OHM Cycles,Mountain,large,679.22
66,Norco Bicycles,Mountain,small,1119.88
67,Norco Bicycles,Standard,medium,1756.97
68,Norco Bicycles,Mountain,medium,69.15
69,Trek Bicycles,Touring,medium,1941.41
70,WeareA2B,Road,small,1546.74
71,Giant Bicycles,Touring,medium,267.25
72,Norco Bicycles,Standard,large,1258.92
73,Solex,Road,small,1862.97
74,Solex,Road,small,529.57
75,Giant Bicycles,Touring,small,1980.83
76,OHM Cycles,Mountain,small,1649.32
77,WeareA2B,Road,large,631.4
78,OHM Cycles,Road,small,195.98
79,OHM Cycles,Standard,medium,1897.41
80,OHM Cycles,Touring,large,1576.0
81,Trek Bicycles,Road,large,1174.98
82,WeareA2B,Touring,large,1445.63
83,OHM Cycles,Touring,medium,1517.3
84,Norco Bicycles,Mountain,large,2038.96
85,Solex,Standard,large,777.89
86,Trek Bicycles,Standard,small,570.82
87,OHM Cycles,Standard,medium,1620.58
88,OHM Cycles,Standard,small,799.98
89,WeareA2B,Road,medium,1362.29
90,Giant Bicycles,Road,small,211.07
91,Norco Bicycles,Touring,large,985.29
92,OHM Cycles,Mountain,small,1287.53
93,WeareA2B,Standard,small,2010.82
94,Giant Bicycles,Standard,small,1024.75
95,OHM Cycles,Mountain,small,461.85
96,Solex,Road,large,1708.18
97,Trek Bicycles,Road,large,112.09
98,Trek Bicycles,Touring,small,1933.66
99,Trek Bicycles,Mountain,medium,543.79
100,Trek Bicycles,Standard,small,1247.12
