transactionId,productId,customerId,transactionDate,onlineOrder,orderStatus,brand,productLine,productClass,productSize,listPrice,standardCost,productFirstSoldDate
1,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,41245.0
2,3,3120,2017-05-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,41701.0
3,37,402,2017-10-16,False,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
4,88,3135,2017-08-31,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,+ACQ-381.10,36145.0
5,78,787,2017-10-01,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,42226.0
6,25,2339,2017-03-08,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,39031.0
7,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,60.34,+ACQ-45.26,34165.0
8,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
9,67,1305,2017-08-10,False,Approved,Solex,Standard,medium,large,1071.23,+ACQ-380.74,33455.0
10,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,38216.0
11,5,1986,2017-01-17,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,+ACQ-459.71,40784.0
12,61,2783,2017-01-05,True,Approved,OHM Cycles,Standard,low,medium,71.16,+ACQ-56.93,42172.0
13,35,1243,2017-02-26,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,+ACQ-154.40,34527.0
15,12,247,2017-06-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,38193.0
16,3,2961,2017-10-10,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,37873.0
17,79,2426,2017-04-03,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,+ACQ-818.01,38206.0
19,54,2268,2017-04-06,True,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
20,25,3002,2017-01-28,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,37337.0
21,27,1582,2017-10-09,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,36334.0
22,37,595,2017-06-29,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
23,37,2001,2017-04-08,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,42145.0
24,82,515,2017-10-18,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,42404.0
25,89,2822,2017-06-11,False,Approved,WeareA2B,Touring,medium,large,1362.99,+ACQ-57.74,34079.0
26,64,2596,2017-01-10,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,42145.0
27,64,2666,2017-04-11,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,41047.0
28,19,76,2017-12-23,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,+ACQ-459.71,42560.0
29,72,3368,2017-10-13,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,+ACQ-270.30,42710.0
30,91,1173,2017-03-15,False,Approved,WeareA2B,Standard,low,medium,642.31,+ACQ-513.85,41922.0
31,88,2810,2017-09-05,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,+ACQ-381.10,37539.0
32,1,3214,2017-02-18,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,42688.0
33,25,1272,2017-03-20,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,42404.0
35,0,2171,2017-08-20,False,Approved,Norco Bicycles,Road,medium,medium,544.05,+ACQ-376.84,38647.0
38,2,2916,2017-12-06,False,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,33549.0
39,12,427,2017-09-12,False,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,38693.0
40,0,2448,2017-11-28,True,Approved,Norco Bicycles,Road,medium,medium,544.05,+ACQ-376.84,38647.0
41,44,2570,2017-05-08,True,Approved,WeareA2B,Standard,medium,medium,1769.64,+ACQ-108.76,37668.0
42,79,3398,2017-05-14,False,Approved,Solex,Touring,medium,large,2083.94,+ACQ-675.03,41533.0
43,76,488,2017-03-17,False,Cancelled,WeareA2B,Standard,low,medium,642.31,+ACQ-513.85,41922.0
44,46,165,2017-12-22,False,Approved,Solex,Standard,low,medium,1289.85,+ACQ-74.51,37668.0
45,55,2787,2017-06-07,True,Approved,Trek Bicycles,Road,medium,large,1894.19,+ACQ-598.76,42172.0
46,66,3053,2017-06-20,False,Approved,Solex,Standard,medium,medium,1163.89,+ACQ-589.27,42560.0
47,35,475,2017-05-07,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,+ACQ-154.40,34527.0
48,81,1305,2017-06-10,True,Approved,Solex,Standard,medium,medium,1151.96,+ACQ-649.49,41009.0
49,86,1251,2017-06-17,False,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,38206.0
50,32,3103,2017-05-10,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,+ACQ-211.37,37337.0
51,77,3108,2017-03-24,False,Approved,Norco Bicycles,Road,medium,large,1240.31,+ACQ-795.10,40553.0
52,96,857,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,+ACQ-993.66,39427.0
53,6,3455,2017-12-21,True,Approved,OHM Cycles,Standard,high,medium,227.88,+ACQ-136.73,33549.0
54,27,2549,2017-02-09,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,34527.0
55,0,3140,2017-09-18,False,Approved,Norco Bicycles,Standard,low,medium,363.01,+ACQ-290.41,38482.0
57,94,2294,2017-08-30,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,+ACQ-993.66,41434.0
58,91,1031,2017-11-14,False,Approved,Solex,Standard,medium,medium,100.35,+ACQ-75.26,36367.0
59,93,993,2017-02-15,True,Approved,OHM Cycles,Standard,high,medium,1458.17,+ACQ-874.90,38750.0
61,0,1839,2017-02-24,False,Approved,OHM Cycles,Road,high,large,12.01,+ACQ-7.21,34244.0
63,35,368,2017-12-17,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,42688.0
64,0,2000,2017-07-08,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,39031.0
66,86,3315,2017-02-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,36367.0
67,2,75,2017-07-03,True,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,41245.0
68,4,1498,2017-09-30,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,+ACQ-677.48,38258.0
69,38,1612,2017-10-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,41167.0
70,27,2192,2017-05-06,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,36334.0
71,54,419,2017-01-03,False,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
72,77,3307,2017-05-09,True,Approved,WeareA2B,Standard,medium,medium,1769.64,+ACQ-108.76,40672.0
73,22,2430,2017-07-23,False,Approved,WeareA2B,Standard,medium,medium,60.34,+ACQ-45.26,34165.0
74,56,1506,2017-01-21,True,Approved,OHM Cycles,Standard,medium,medium,183.86,+ACQ-137.90,35707.0
75,58,1346,2017-06-20,False,Approved,OHM Cycles,Standard,medium,medium,912.52,+ACQ-141.40,42295.0
76,22,927,2017-03-10,False,Approved,WeareA2B,Standard,medium,medium,60.34,+ACQ-45.26,33552.0
77,50,763,2017-06-02,False,Approved,WeareA2B,Standard,medium,small,175.89,+ACQ-131.92,37668.0
78,80,2397,2017-11-07,False,Approved,OHM Cycles,Touring,low,medium,1073.07,+ACQ-933.84,36145.0
79,87,102,2017-09-12,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,+ACQ-707.40,35667.0
80,15,2884,2017-12-16,False,Approved,Norco Bicycles,Standard,low,medium,958.74,+ACQ-748.90,38693.0
81,84,759,2017-10-07,True,Approved,Giant Bicycles,Road,medium,medium,792.9,+ACQ-594.68,33879.0
82,21,773,2017-04-27,True,Approved,Solex,Standard,medium,large,1071.23,+ACQ-380.74,40670.0
83,0,3398,2017-04-01,True,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,37626.0
85,84,2434,2017-02-13,True,Approved,Trek Bicycles,Road,medium,medium,290.62,+ACQ-215.14,38339.0
86,1,1861,2017-07-19,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,38258.0
87,27,1233,2017-05-23,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,33455.0
88,31,1390,2017-08-06,False,Approved,WeareA2B,Standard,medium,medium,752.64,+ACQ-205.36,34079.0
89,0,2682,2017-04-04,True,Approved,OHM Cycles,Road,high,large,12.01,+ACQ-7.21,40303.0
90,62,439,2017-08-15,True,Approved,Solex,Standard,medium,medium,478.16,+ACQ-298.72,34143.0
91,17,1579,2017-04-15,True,Approved,Solex,Standard,high,medium,1024.66,+ACQ-614.80,35160.0
92,73,2984,2017-07-25,True,Approved,Solex,Standard,medium,medium,1945.43,+ACQ-333.18,36668.0
94,86,1,2017-12-23,False,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,38482.0
95,45,757,2017-02-26,False,Approved,Solex,Standard,medium,medium,441.49,+ACQ-84.99,34071.0
