transactionId,productId,customerId,transactionDate,onlineOrder,orderStatus,brand,productLine,productClass,productSize,listPrice,standardCost,productFirstSoldDate
1,2,2950,25+AC0-02+AC0-2017,False,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,41245.0
2,3,3120,21+AC0-05+AC0-2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,41701.0
3,37,402,16+AC0-10+AC0-2017,False,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
4,88,3135,31+AC0-08+AC0-2017,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,+ACQ-381.10,36145.0
5,78,787,01+AC0-10+AC0-2017,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,42226.0
6,25,2339,08+AC0-03+AC0-2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,39031.0
7,22,1542,21+AC0-04+AC0-2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,+ACQ-45.26,34165.0
8,15,2459,15+AC0-07+AC0-2017,False,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
9,67,1305,10+AC0-08+AC0-2017,False,Approved,Solex,Standard,medium,large,1071.23,+ACQ-380.74,33455.0
10,12,3262,30+AC0-08+AC0-2017,True,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,38216.0
11,5,1986,17+AC0-01+AC0-2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,+ACQ-459.71,40784.0
12,61,2783,05+AC0-01+AC0-2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,+ACQ-56.93,42172.0
13,35,1243,26+AC0-02+AC0-2017,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,+ACQ-154.40,34527.0
15,12,247,11+AC0-06+AC0-2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,38193.0
16,3,2961,10+AC0-10+AC0-2017,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,37873.0
17,79,2426,03+AC0-04+AC0-2017,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,+ACQ-818.01,38206.0
19,54,2268,06+AC0-04+AC0-2017,True,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
20,25,3002,28+AC0-01+AC0-2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,37337.0
21,27,1582,09+AC0-10+AC0-2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,36334.0
22,37,595,29+AC0-06+AC0-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
23,37,2001,08+AC0-04+AC0-2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,42145.0
24,82,515,18+AC0-10+AC0-2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,42404.0
25,89,2822,11+AC0-06+AC0-2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,+ACQ-57.74,34079.0
26,64,2596,10+AC0-01+AC0-2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,42145.0
27,64,2666,11+AC0-04+AC0-2017,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,41047.0
28,19,76,23+AC0-12+AC0-2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,+ACQ-459.71,42560.0
29,72,3368,13+AC0-10+AC0-2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,+ACQ-270.30,42710.0
