,transactionId,productId,customerId,transactionDate,onlineOrder,orderStatus,brand,productLine,productClass,productSize,listPrice,standardCost,productFirstSoldDate
0,1,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,41245.0
1,2,3,3120,2017-05-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,41701.0
2,3,37,402,2017-10-16,False,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
3,4,88,3135,2017-08-31,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,+ACQ-381.10,36145.0
4,5,78,787,2017-10-01,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,42226.0
5,6,25,2339,2017-03-08,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,39031.0
6,7,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,60.34,+ACQ-45.26,34165.0
7,8,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
8,9,67,1305,2017-08-10,False,Approved,Solex,Standard,medium,large,1071.23,+ACQ-380.74,33455.0
9,10,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,38216.0
10,11,5,1986,2017-01-17,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,+ACQ-459.71,40784.0
11,12,61,2783,2017-01-05,True,Approved,OHM Cycles,Standard,low,medium,71.16,+ACQ-56.93,42172.0
12,13,35,1243,2017-02-26,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,+ACQ-154.40,34527.0
13,15,12,247,2017-06-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,38193.0
14,16,3,2961,2017-10-10,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,37873.0
15,17,79,2426,2017-04-03,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,+ACQ-818.01,38206.0
16,19,54,2268,2017-04-06,True,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
17,20,25,3002,2017-01-28,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,37337.0
18,21,27,1582,2017-10-09,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,36334.0
19,22,37,595,2017-06-29,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
20,23,37,2001,2017-04-08,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,42145.0
21,24,82,515,2017-10-18,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,42404.0
22,25,89,2822,2017-06-11,False,Approved,WeareA2B,Touring,medium,large,1362.99,+ACQ-57.74,34079.0
23,26,64,2596,2017-01-10,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,42145.0
24,27,64,2666,2017-04-11,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,41047.0
25,28,19,76,2017-12-23,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,+ACQ-459.71,42560.0
26,29,72,3368,2017-10-13,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,+ACQ-270.30,42710.0
27,30,91,1173,2017-03-15,False,Approved,WeareA2B,Standard,low,medium,642.31,+ACQ-513.85,41922.0
28,31,88,2810,2017-09-05,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,+ACQ-381.10,37539.0
29,32,1,3214,2017-02-18,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,42688.0
30,33,25,1272,2017-03-20,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,42404.0
31,35,0,2171,2017-08-20,False,Approved,Norco Bicycles,Road,medium,medium,544.05,+ACQ-376.84,38647.0
32,38,2,2916,2017-12-06,False,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,33549.0
33,39,12,427,2017-09-12,False,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,38693.0
34,40,0,2448,2017-11-28,True,Approved,Norco Bicycles,Road,medium,medium,544.05,+ACQ-376.84,38647.0
35,41,44,2570,2017-05-08,True,Approved,WeareA2B,Standard,medium,medium,1769.64,+ACQ-108.76,37668.0
36,42,79,3398,2017-05-14,False,Approved,Solex,Touring,medium,large,2083.94,+ACQ-675.03,41533.0
37,43,76,488,2017-03-17,False,Cancelled,WeareA2B,Standard,low,medium,642.31,+ACQ-513.85,41922.0
38,44,46,165,2017-12-22,False,Approved,Solex,Standard,low,medium,1289.85,+ACQ-74.51,37668.0
39,45,55,2787,2017-06-07,True,Approved,Trek Bicycles,Road,medium,large,1894.19,+ACQ-598.76,42172.0
40,46,66,3053,2017-06-20,False,Approved,Solex,Standard,medium,medium,1163.89,+ACQ-589.27,42560.0
41,47,35,475,2017-05-07,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,+ACQ-154.40,34527.0
